epoch,train_loss,train_acc,val_loss,val_acc
1,0.5570999480247497,0.698,0.429572203540802,0.806
2,0.40267768946223786,0.8172444444444444,0.40202659559249876,0.8256
3,0.33353029415342544,0.8551111111111112,0.38532497215270994,0.8436
4,0.28647692858907914,0.8794666666666666,0.3793630367279053,0.8448
5,0.24910806385676065,0.8975555555555556,0.36924124908447264,0.8436
6,0.2149577148384518,0.9148888888888889,0.37809395713806154,0.854
