epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.6151856936136881,0.6425333333333333,0.4703441896438599,0.7748,0.00029588871002197265
2,0.4301229861630334,0.8003111111111111,0.4226006624221802,0.8184,0.0002527290344238281
3,0.35072596916622584,0.8454666666666667,0.4101497866630554,0.832,0.00017577592134475706
4,0.3145940142366621,0.8652444444444445,0.3855018552780151,0.844,9.034364819526672e-05
5,0.28395440883636475,0.8828,0.38889627656936643,0.8432,2.4535748362541195e-05
6,0.26994525735113356,0.8878666666666667,0.398704953289032,0.8448,0.0
