epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.569361220380995,0.6879111111111111,0.43629411220550535,0.7968,0.0003
2,0.4150046190367805,0.8108888888888889,0.4133134981155395,0.8248,0.0003
3,0.3448371136082543,0.8494222222222222,0.401426669216156,0.8412,0.0003
4,0.3067279011355506,0.8695555555555555,0.3994556683540344,0.8376,0.0003
5,0.2752424943976932,0.8852888888888889,0.4059494242191315,0.8316,0.0003
6,0.2445705967373318,0.9005777777777778,0.3765133296966553,0.8584,0.0003
